Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
19 DEC 2025,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,19 DEC 2025,               5.00,          35286502,            192.35,     6786652929.65 
19 DEC 2025,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,19 DEC 2025,              10.00,          10500000,             48.75,      511770000.00
19 DEC 2025,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,19 DEC 2025,               1.00,         404688480,           1138.90,   460899709872.00    
19 DEC 2025,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,19 DEC 2025,              10.00,         207382685,             16.20,     3359599497.00 
19 DEC 2025,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,19 DEC 2025,              10.00,          11265070,          34875.00,   392869316250.00   
19 DEC 2025,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,19 DEC 2025,               2.00,          18000000,             38.15,      686340000.00    
19 DEC 2025,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,19 DEC 2025,              10.00,          31242338,            310.80,     9710118650.40    
19 DEC 2025,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,19 DEC 2025,               2.00,          46078537,            749.60,    34540471335.20   
19 DEC 2025,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,19 DEC 2025,              10.00,         176119858,             14.00,     2467439210.60  
19 DEC 2025,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,19 DEC 2025,              10.00,          12826800,             99.60,     1277421012.00   
19 DEC 2025,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,19 DEC 2025,              10.00,         433092732,            488.00,   211349253216.00 
19 DEC 2025,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,19 DEC 2025,              10.00,          14172816,             71.70,     1016190907.20    
19 DEC 2025,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,19 DEC 2025,               1.00,         101250000,              8.75,      887962500.00    
19 DEC 2025,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,18 DEC 2025,              10.00,          14138000,            129.60,     1832284800.00  
19 DEC 2025,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,19 DEC 2025,              10.00,          28354303,             68.50,     1942553298.55
19 DEC 2025,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,19 DEC 2025,              10.00,          20946478,            177.20,     3711925366.40     
